"","X","k","density","inf_prob","rec_rate","duration","max_I","max_prevalence","percep","p","H","beta1","beta2","beta3","betas","pbyH","Hurst","proportion","lstructure"
"88",88,8,0.25,0.2,0.1,98,14867,0.900375484496124,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",89,8,0.25,0.2,0.1,109,14865,0.900254360465116,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,8,0.25,0.2,0.1,97,14790,0.895712209302326,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",91,8,0.25,0.2,0.1,136,14825,0.897831879844961,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",92,8,0.25,0.2,0.1,96,14826,0.897892441860465,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",93,8,0.25,0.2,0.1,98,14828,0.898013565891473,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",94,8,0.25,0.2,0.1,101,14918,0.903464147286822,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,8,0.25,0.2,0.1,93,14931,0.904251453488372,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",96,8,0.25,0.2,0.1,103,14872,0.900678294573643,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",97,8,0.25,0.2,0.1,109,14886,0.901526162790698,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",98,8,0.25,0.2,0.1,89,14884,0.90140503875969,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,8,0.25,0.2,0.1,97,14883,0.901344476744186,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",100,8,0.25,0.2,0.1,115,14845,0.899043120155039,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1,8,0.25,0.2,0.2,50,13206,0.799781976744186,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",2,8,0.25,0.2,0.2,44,13258,0.802931201550388,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",3,8,0.25,0.2,0.2,52,13218,0.800508720930233,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",4,8,0.25,0.2,0.2,44,13194,0.799055232558139,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",5,8,0.25,0.2,0.2,54,13191,0.798873546511628,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",6,8,0.25,0.2,0.2,42,13228,0.801114341085271,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",7,8,0.25,0.2,0.2,42,13151,0.796451065891473,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",8,8,0.25,0.2,0.2,42,13216,0.800387596899225,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",9,8,0.25,0.2,0.2,43,13234,0.801477713178295,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",10,8,0.25,0.2,0.2,45,13214,0.800266472868217,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",11,8,0.25,0.2,0.2,58,13196,0.799176356589147,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",12,8,0.25,0.2,0.2,39,13265,0.803355135658915,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",13,8,0.25,0.2,0.2,60,13263,0.803234011627907,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",14,8,0.25,0.2,0.2,43,13209,0.799963662790698,"H",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
